query,query_type
what is rba,description
was ronald reagan a democrat,description
how long do you need for sydney and surrounding areas,numeric
price to install tile in shower,numeric
why conversion observed in body,description
where are the lungs located in the back,location
cost to get a patent,numeric
what does a metabolic acidosis need to reverse the condition,description
best tragedies of ancient greece,entity
what is a conifer,description
in animals somatic cells are produced by and gametic cells are produced by,entity
remembering the name of the author who wrote the cat in the hat,person
how long cooking chicken legs in the big easy,numeric
average cost of heating per square foot,numeric
is mount pinatubo made of granite or basalt,description
concrete pads cost,numeric
what kind of organism is a black damsel,entity
who coined the phrase it is what it is,person
what is oilskin fabric,description
how long is german measles contagious,numeric
what is a camerata,description
how long does it take to bake a pound cake,numeric
what is the maximum dose of subutex,numeric
salary difference in same team,numeric
what was tet,description
describe the pathway of a nerve impulse through a reflex arc,description
what energy is used in photosynthesis,description
"The smallest blood vessels in your body,where gas exchange occurs are called",description
what is rappelling,description
what does a brewery representative do,person
how long will i be in hospital after a gallbladder surgery last,numeric
at what age does medicare begin,numeric
Adoption fees for rabbits,numeric
what is a diabetic kidney,description
why is james madison father of constitution,description
what temp does meat need to be cooked to,numeric
what is a mobile analog phone,description
traits that are derived from a common ancestor are said to be,description
residential solar cost,numeric
irs late penalty fees,numeric
what is the discriminant of an equation,description
gayla name meaning,description
what animal is a possum,entity
types of bacterial respiration,description
what are monocytes,description
interior decorator cost per hour,numeric
certified child life specialist average salary locally,numeric
What Kills Scorpions Naturally,entity
what is the meaning of powhiri,description
Burly Man Definition,description
do game shows pay their contestants,description
diseases caused by clostridium,entity
what is the salary of a person with a biology degree,numeric
how tall is jack griffo,numeric
what is meant by pneumatics,description
what is a laryngocele,description
what age can a child go swimming alone,numeric
what kind of coffee pods does delonghi use?,entity
why choose range or interquartile range,description
what are liver spots caused by,description
History of Microchip Timeline,description
medicare conditions of participation emtala,description
does peanut butter contain cholesterol,description
can you take left hand lane to turn right on a dual carriageway roundabout,description
what does the oad survey expert level color mean,description
example of involuntary muscle tissue is,description
what is slime,description
how to make a poached egg without an egg poacher,description
what is a harrier,description
how long should a drive thru take,numeric
what is plasmalyte,description
what is a goods receipt,description
cortical functions of the brain,description
what is conduction,description
what is a tilde accent,description
is armed assault a felony,description
carpal tunnel symptoms,entity
meaning of name tasneem,description
why is the kilauea volcano a shield volcano,description
how to make a gold color with paint,description
what is carp fish,entity
how long can you leave a cooked meal in the fridge,numeric
average sea temperature alcudia,numeric
characteristics sporophyte plants examples,entity
what type of hepatitis causes cirrhosis,entity
is silverbeet the same as chard,description
cal water phone number torrance CA,numeric
what are humans made of chemically,entity
what is sugar soap,description
conchae definition,description
temperature of neptune in fahrenheit,numeric
what amendment limits the terms a president may serve,description
what is palladium metal,description
what is the cause of conjunctivitis,description
yearly cost for lumosity,numeric
watchdog.sys what is,description
what is a bak file,description
How much will it cost to go to college to become a detective,numeric
trust amendment term,description
what is kuchen,description
aleve maximum dose,numeric
caito name meaning,description
i-type granite definition,description
net worth of average american household,numeric
what is haemolytic anaemia,description
what is a pressure receptor,description
what to write in a card about illness,description
how long does it take for a letter to arrive in a different state,numeric
what was true of the desegregation of the armed forces under president truman,description
cost of a masters degree in education,numeric
how can i tell what glasses look good on me,description
describe parkinson disease movement,entity
how much will closing cost be for the buyer,numeric
rear struts replacement cost,numeric
are springtails harmful,description
what part of the brain is dopamine produced,entity
what is a cheeky nandos,description
how big is a regular shot glass of liquor,numeric
what are zodiac boats made of,entity
how long does a chipped collarbone take to heal,numeric
where does the surname pickering originate,location
solar cost in arizona,numeric
usaa routing number,numeric
what are the foods rich in vitamin b complex,entity
safe dose range help,numeric
what causes zoster shingles,description
what time of day do i install package bees,numeric
what is an investment banker,description
how fast do weigela grow,numeric
minimum height of a motorway bridge,numeric
are angora goats good for meat,description
does visa signature have roadside assistance,description
why can't you eat pineapple when pregnant,numeric
what was the reason that the tea act passed,description
can we skip amicalola falls to get to springer mountain,description
Is Tramadol A Narcotic or Opiate,description
convert cups to pounds confectioners sugar,description
what is an ESR level on a blood test?,description
can i update the iphone software then back it up from my previous phone,description
who is putin,person
What are the frustules of diatom phytoplankton composed of?,entity
how long is a prescription valid for,numeric
how often should puppies get shots,numeric
how much is a current postage stamp,numeric
how to remove header from second page of document,description
chemical composition of cereals,entity
what conditions do cocoa beans grow in,entity
how long is typhoid vaccine good for,numeric
what color is phlegm,entity
is the new tesla hybrid,description
how much does it cost to be in a sorority at fsu,numeric
what is vesicle,description
how fast can a person run,numeric
does delirium cause hallucinations,description
how much does it cost to change names on ryanair tickets,numeric
height of the highest ocean mountain,numeric
what are the four structures of the forebrain,description
where can you find canyons,location
salary hike in infosys,numeric
normal age for a girl to start her period,numeric
does claritin help itchy eyes,description
what is the awl,description
what is filial bonding,description
what is rimadyl,description
what are pyroclastic flows,description
the actor that played hagrid,person
utah football schedule,description
thoracic cavity definition,description
how much time can you go between oil changes,numeric
what is anencephaly,description
what is zfs,description
how old do i have to be to be a bartender in texas,numeric
what species is a dandelion,entity
how much carbohydrates starches should a child eat per day,numeric
age limit to claim child as dependent on taxes,numeric
who was actor larry parks,person
average cost of replacing tie rods,numeric
how to access xfinity dvr,description
bordetella pertussis cell morphology,entity
what temperature do you cook beef ribs,numeric
how much does it cost to upgrade your electrical panel,numeric
how long should a tattoo take to heal,numeric
how can i get a job as a food tester,description
kinds of oils used for food,entity
what is eclectic paradigm theory,description
what temp does frost hit,numeric
where is milford sound located,location
abbreviation for semester,description
what structures receive arterial blood from the brachiocephalic artery,description
spots on lungs that are not cancer,description
what is the time span of the roman empire,numeric
what is lactate in a blood test,description
in which Sc ecosystem is a horseshoe crab found,entity
the cervical spine is composed of,entity
kambos malaga contact,description
what is the function of the ciliated mucous membrane in the nose,description
how many calories burned during aquafit,numeric
thyroid autoimmune disease sugar,entity
how much does the masters champion win,numeric
is mauna loa active or dormant,description
what is a squa carcinoma,description
what counts as northern europe,description
what is a hepatic hemangioma,description
cost of insulating a home,numeric
is mount everest in china,description
weather morocco may,description
what album is soulshine on,entity
what is xanax pills used for,entity
how much does it cost american taxpayers to house american arrested for marijuana,numeric
what is aldehydes and ketones,description
why is uranus tilted,description
"between what years did the bronze age,stone age and iron age era occur",numeric
what influenced the impressionist movement,person
do hopi ear candles work,description
cast of ringer,person
what is greywater,description
qdoba salary,numeric
normal level of tsh in children,numeric
name meaning of zadkiel,description
at what russian city on the volga did the germans suffer a major defeat,location
what is the movie name that bonda uma producing,entity
who was the president who caused the trail of tears,person
what is a duc in france,description
what molecules are made in the heterochromatin,entity
how long does a average person keep a car in us,numeric
is facility explorer tridium,description
ideal temperature to store eggs till incubation,numeric
what does the huntingtin gene do,description
what are transform boundaries,description
what does acetylcholine do to your body,description
cost of attending university of alabama,numeric
what is fructose malabsorption symptoms,entity
what is the peloton,description
in your opinion living on a farm or in city yahoo answer,description
what does mrna do?,description
if a potato gets cold does it lose starch,description
what is pecorino,description
how much do freelance editors make,numeric
uses of tea or coffee or alcohol,description
what is a terrestrial biome,description
what are the function and metabolism of macronutrients,description
what is budesonide inhalation suspension,description
what are the differences between photosynthesis and respiration,description
foods that are good for pancreatitis,entity
what is the purpose of connective tissue,description
highest interest rates in usa,numeric
is psoriasis dangerous,description
what is normal prolactin level in males,description
what are vitamins and minerals good for,description
john locke is typically considered to be the founder of what philosophical movement,person
definition of regeneration geography,description
what is myer,description
how much is lipscomb tuition,numeric
how long can a diamondback terrapin hold its breath,numeric
which tick has lyme disease,entity
what sir francis bacon was known for,description
who was alfred von schlieffen,person
what is dna testing used for,description
how to fix tv that goes off in a few minutes after turned on,description
what does the name paige mean,description
salary range for registered dietitian by state,numeric
where in the world can rattlesnakes be found,location
how many people fit in a crew cab truck,numeric
what is maximum term for relevant life policy,description
how fast does a kiln cool down,numeric
is spanish moss a plant,description
what time is the A-Day game,numeric
what are huckleberry,description
how much cost the lawyer for citizenship,numeric
what is cyber spoofing,description
how much does an apartment cost per month,numeric
average cost of pressure washing by professional,numeric
how to cook steak in oven,description
describe the function of the tongue,description
definition of recessive trait,description
what does concursus mean,description
how to cook in a convection oven,description
cecilia what does the name mean,description
how does a breathalyzer test work,description
how much does it cost to file for bankruptcy,numeric
what is carburetor for,description
best cleaning solution to get rid of cigarette smell,description
how does merry maids work,description
how long can the average person hold their breath,numeric
what makes a gas dissolve faster,description
the biblical meaning of the name simon,description
does conserving water save your money,description
what does deluge mean,description
how to use iserror,description
do gallbladder problems cause loose stools,description
what are the specialized cells of the epidermis called that produce the dark pigment that provides skin color,entity
What is laser light and How is it different from white light,description
what is the amount of sodium recommended per day,numeric
uses for potassium salts,description
different types of vitamin c,description
how do you add decimals and fractions,description
where is tib fib,location
are photosynthetic protists related to plants?,description
how much does it cost to insure an engagement ring,numeric
proper height for a computer desk,numeric
is fenugreek milk plus for breastfeeding good for diabetes mom,description
what tissues are lungs made of,entity
how long should a roof last,numeric
collagen definition anatomy,description
average rate for apartment move out cleaning,numeric
how long does it take to get a master degree in teaching in college,numeric
what is romansh language,entity
by what process are the majority carriers produced,description
what does a blue whales tongue weigh,description
what color is normal cat urine,entity
is radioactive waste dangerous,description
where are precambrian rocks found,location
"what is keene,tx etj",description
what is synovitis in ankle,description
how long to cook chuck roast,numeric
do patients with hypothyroidism have problems with iron levels,description
first pass yield definition,description
what is nitrobenzene soluble in,description
wild turkey species ranges,entity
why is nicotine bad for you,description
cost to treat termites,numeric
can you use windex to clean sterling silver jewelry,description
what kind of flower does bees like,entity
what is a rolo chain,description
what does lipoprotein lipase do,description
how historically accurate is vikings,description
what is the population of southampton,numeric
salary for pvt in us army,numeric
average price of saud,numeric
hypothalamic inhibiting hormone definition,description
career in ultrasound technician salary,numeric
how much does physiotherapy cost,numeric
ltc amount calculation,description
what is the normal range for liver for humans,numeric
what is annual value,description
what kind of test nerve test for nerve damage,description
average ticket price for pittsburgh steelers,numeric
how to reduce the blood pressure quickly,description
what is the savanna like in africa,description
what is stateful firewall,description
what is dacron material,entity
cost to move,numeric
what is cargo movement,description
where is guild vendor stormwind,location
why was the yellow river called china curse,description
